,node1,node2,relation
89,Cluster 3,Ryan Lanji,Cluster-Entity
90,Cluster 3,Lgbt,Cluster-Entity
91,Cluster 6,Bookstore,Cluster-Entity
92,Cluster 6,Backlash,Cluster-Entity
93,Cluster 6,Drag Queens,Cluster-Entity
94,Cluster 6,Princeton University,Cluster-Entity
95,Cluster 6,Russian Authorities,Cluster-Entity
96,Cluster 6,Bank Card,Cluster-Entity
97,Cluster 6,Missouri,Cluster-Entity
98,Cluster 6,College Student,Cluster-Entity
99,Cluster 3,Northern Ireland,Cluster-Entity
100,Cluster 3,Lgbt Community,Cluster-Entity
101,Cluster 0,Women  Roller Derby League,Cluster-Entity
102,Cluster 0,Athletes,Cluster-Entity
103,Cluster 0,York,Cluster-Entity
104,Cluster 9,Colorado,Cluster-Entity
105,Cluster 9,Nation,Cluster-Entity
106,Cluster 5,Sheikh Shadi Asuleiman,Cluster-Entity
107,Cluster 5,Australia,Cluster-Entity
108,Cluster 5,Islam,Cluster-Entity
109,Cluster 5,Imam,Cluster-Entity
110,Cluster 5,Kingston,Cluster-Entity
111,Cluster 5,Grad,Cluster-Entity
112,Cluster 5,Lgbtq,Cluster-Entity
113,Cluster 5,Raja Krishnamoorthi,Cluster-Entity
114,Cluster 5,Mike Gallagher,Cluster-Entity
115,Cluster 5,Illinois,Cluster-Entity
116,Cluster 5,Wisconsin,Cluster-Entity
117,Cluster 2,Jenny Slate,Cluster-Entity
118,Cluster 2,Shell,Cluster-Entity
119,Cluster 2,New Orleans,Cluster-Entity
120,Cluster 2,Shoes On.Also,Cluster-Entity
121,Cluster 2,Lauren Bennett,Cluster-Entity
122,Cluster 2,Fae Johnstone,Cluster-Entity
123,Cluster 2,Large Media Followings,Cluster-Entity
124,Cluster 2,Media Matters,Cluster-Entity
125,Cluster 2,Social Media,Cluster-Entity
126,Cluster 5,Eu,Cluster-Entity
127,Cluster 5,Country ,Cluster-Entity
128,Cluster 5,Georgia,Cluster-Entity
129,Cluster 5,Anti-Gay Bill,Cluster-Entity
130,Cluster 5,Lgbt,Cluster-Entity
131,Cluster 5,Full Article,Cluster-Entity
132,Cluster 5,Rt.Com,Cluster-Entity
133,Cluster 3,College Student,Cluster-Entity
134,Cluster 3,Police,Cluster-Entity
135,Cluster 2,Alabama,Cluster-Entity
136,Cluster 2,Rocket,Cluster-Entity
137,Cluster 2,Backlash,Cluster-Entity
138,Cluster 2,Reeducation Camp,Cluster-Entity
139,Cluster 0,Pete Buttigieg,Cluster-Entity
140,Cluster 0,Anti-Trans,Cluster-Entity
141,Cluster 0,Michigan,Cluster-Entity
142,Cluster 8,Southern California,Cluster-Entity
143,Cluster 8,School Board Members,Cluster-Entity
144,Cluster 9,New York County,Cluster-Entity
145,Cluster 9,Caitlyn Jenner,Cluster-Entity
146,Cluster 9,Transgender Female Athletes,Cluster-Entity
147,Cluster 9,York,Cluster-Entity
148,Cluster 3,Kentucky,Cluster-Entity
149,Cluster 3,Transgender Rights,Cluster-Entity
150,Cluster 3,Civil Rights,Cluster-Entity
151,Cluster 3,Lgbtq,Cluster-Entity
152,Cluster 3,Disruptive Conduct,Cluster-Entity
153,Cluster 3,Free Speech,Cluster-Entity
154,Cluster 9,Idaho,Cluster-Entity
155,Cluster 9,Busy Week,Cluster-Entity
156,Cluster 2,Illegal,Cluster-Entity
157,Cluster 2,Scotland,Cluster-Entity
158,Cluster 0,Wisconsin,Cluster-Entity
159,Cluster 0,Oklahoma District,Cluster-Entity
160,Cluster 0,Libs,Cluster-Entity
161,Cluster 0,Bomb Threats,Cluster-Entity
162,Cluster 0,Bartender,Cluster-Entity
163,Cluster 0,Multnomah County Circuit Court,Cluster-Entity
164,Cluster 0,Transgender,Cluster-Entity
165,Cluster 0,Portland,Cluster-Entity
166,Cluster 8,Byu,Cluster-Entity
167,Cluster 8,Utah,Cluster-Entity
168,Cluster 9,Army,Cluster-Entity
169,Cluster 9,Bearded,Cluster-Entity
170,Cluster 9,Spanish Army,Cluster-Entity
171,Cluster 9,Biological Male,Cluster-Entity
172,Cluster 9,Locker Rooms,Cluster-Entity
173,Cluster 9,Minnesota,Cluster-Entity
174,Cluster 9,Tennessee State,Cluster-Entity
175,Cluster 3,Real,Cluster-Entity
176,Cluster 3,Video Gamers,Cluster-Entity
177,Cluster 3,Hostile,Cluster-Entity
178,Cluster 3,Friendship Online,Cluster-Entity
179,Cluster 1,Ways,Cluster-Entity
180,Cluster 1,Families,Cluster-Entity
181,Cluster 1,Hostility,Cluster-Entity
182,Cluster 1,Lgbtq,Cluster-Entity
183,Cluster 1,Such Children,Cluster-Entity
184,Cluster 1,Unprecedented Threat,Cluster-Entity
185,Cluster 2,Ai,Cluster-Entity
186,Cluster 2,New Math,Cluster-Entity
187,Cluster 2,Human Life,Cluster-Entity
188,Cluster 2,New Orleans,Cluster-Entity
189,Cluster 2,Ancient Texts,Cluster-Entity
190,Cluster 1,Pastor,Cluster-Entity
191,Cluster 1,Gospel Music,Cluster-Entity
192,Cluster 6,Scientific American’S,Cluster-Entity
193,Cluster 6,April,Cluster-Entity
194,Cluster 2,Pope,Cluster-Entity
195,Cluster 2,Retirement Rumours,Cluster-Entity
196,Cluster 2,New Orleans,Cluster-Entity
197,Cluster 9,N.Y.,Cluster-Entity
198,Cluster 9,Caitlyn Jenner,Cluster-Entity
199,Cluster 9,Transgender Women,Cluster-Entity
200,Cluster 5,Melania Trump,Cluster-Entity
201,Cluster 5,Moreno,Cluster-Entity
202,Cluster 5,Sherrod Brown,Cluster-Entity
203,Cluster 5,U.S. Aid,Cluster-Entity
204,Cluster 5,Republican Ohio,Cluster-Entity
205,Cluster 5,Ohio,Cluster-Entity
206,Cluster 5,Lgbtq,Cluster-Entity
207,Cluster 5,Donald Trump,Cluster-Entity
208,Cluster 5,November,Cluster-Entity
209,Cluster 5,Longtime Supporter,Cluster-Entity
210,Cluster 9,Support,Cluster-Entity
211,Cluster 9,Supreme Court,Cluster-Entity
212,Cluster 9,America,Cluster-Entity
213,Cluster 9,Obergefell,Cluster-Entity
214,Cluster 9,Sex Workers,Cluster-Entity
215,Cluster 9,Right View,Cluster-Entity
216,Cluster 9,Elon Musk,Cluster-Entity
217,Cluster 9,Alejandra Caraballo,Cluster-Entity
218,Cluster 9,Harvard Law School,Cluster-Entity
219,Cluster 9,Harvard,Cluster-Entity
220,Cluster 9,Gender Identity,Cluster-Entity
221,Cluster 9,Cyberlaw,Cluster-Entity
222,Cluster 0,Lgbtq,Cluster-Entity
223,Cluster 0,Medical Examiner,Cluster-Entity
224,Cluster 0,America,Cluster-Entity
225,Cluster 0,Oklahoma,Cluster-Entity
226,Cluster 0,Navy,Cluster-Entity
227,Cluster 0,Travis Akers,Cluster-Entity
228,Cluster 0,Dance Moms,Cluster-Entity
229,Cluster 0,Duval,Cluster-Entity
230,Cluster 0,Florida,Cluster-Entity
231,Cluster 2,Diverse,Cluster-Entity
232,Cluster 2,Nyc,Cluster-Entity
233,Cluster 7,Mark Burns,Cluster-Entity
234,Cluster 7,North Carolina,Cluster-Entity
235,Cluster 7,North Carolina Governor,Cluster-Entity
236,Cluster 7,Gov,Cluster-Entity
237,Cluster 7,Republican Ohio,Cluster-Entity
238,Cluster 5,Moreno,Cluster-Entity
239,Cluster 5,Melania Trump,Cluster-Entity
240,Cluster 5,Establishment Challenge,Cluster-Entity
241,Cluster 5,Ohio,Cluster-Entity
242,Cluster 5,S Beach,Cluster-Entity
243,Cluster 5,Democratic Incumbent,Cluster-Entity
244,Cluster 5,Sherrod Brown,Cluster-Entity
245,Cluster 8,Cartel Member,Cluster-Entity
246,Cluster 8,Chicago,Cluster-Entity
247,Cluster 6,Todd,Cluster-Entity
248,Cluster 6,Hollywood,Cluster-Entity
249,Cluster 6,Accuracy,Cluster-Entity
250,Cluster 6,Culture Of,Cluster-Entity
251,Cluster 6,Hebrew Helper,Cluster-Entity
252,Cluster 6,Leo Varadkar,Cluster-Entity
253,Cluster 6,Pm,Cluster-Entity
254,Cluster 6,Pm,Cluster-Entity
255,Cluster 6,Fine Gael,Cluster-Entity
256,Cluster 6,General Election,Cluster-Entity
257,Cluster 6,Abc News,Cluster-Entity
258,Cluster 6,Ireland,Cluster-Entity
259,Cluster 9,Lgbtq,Cluster-Entity
260,Cluster 9,Western Sanctions,Cluster-Entity
261,Cluster 9,Patients,Cluster-Entity
262,Cluster 9,Long Wait,Cluster-Entity
263,Cluster 9,Nhs,Cluster-Entity
264,Cluster 3,Homophobia,Cluster-Entity
265,Cluster 3,Queer,Cluster-Entity
266,Cluster 3,Cancer Risk,Cluster-Entity
267,Cluster 3,Lgbtq,Cluster-Entity
268,Cluster 3,Minority Stress,Cluster-Entity
269,Cluster 3,Health Care Settings,Cluster-Entity
270,Cluster 6,Ireland,Cluster-Entity
271,Cluster 6,Leo Varadkar,Cluster-Entity
272,Cluster 6,Ireland'S Prime Minister,Cluster-Entity
273,Cluster 9,Lesbian News,Cluster-Entity
274,Cluster 9,Education Teacher,Cluster-Entity
275,Cluster 9,Federal Discrimination Lawsuit,Cluster-Entity
276,Cluster 9,Maine District,Cluster-Entity
277,Cluster 9,Lawsuit,Cluster-Entity
278,Cluster 9,Maine,Cluster-Entity
279,Cluster 3,Eleven,Cluster-Entity
280,Cluster 3,Current Positions,Cluster-Entity
281,Cluster 3,Joe Biden,Cluster-Entity
282,Cluster 1,Judge Shopping,Cluster-Entity
283,Cluster 1,Alabama,Cluster-Entity
284,Cluster 5,Lesbian News,Cluster-Entity
285,Cluster 5,Nicole Scherzinger,Cluster-Entity
286,Cluster 5,Landmark Rights Case,Cluster-Entity
287,Cluster 5,Labor Lawyer,Cluster-Entity
288,Cluster 5,Appeals Court,Cluster-Entity
289,Cluster 5,Israel,Cluster-Entity
290,Cluster 5,U.S. Aid,Cluster-Entity
291,Cluster 0,Oklahoma,Cluster-Entity
292,Cluster 0,Game Developer,Cluster-Entity
293,Cluster 5,Nicole Scherzinger,Cluster-Entity
294,Cluster 5,Senate Approval,Cluster-Entity
295,Cluster 9,Lawmakers,Cluster-Entity
296,Cluster 9,Alabama,Cluster-Entity
297,Cluster 2,Fascists,Cluster-Entity
298,Cluster 2,Homosexual,Cluster-Entity
299,Cluster 2,Word Verboten,Cluster-Entity
300,Cluster 2,Girls5Eva,Cluster-Entity
301,Cluster 2,Paula Pell,Cluster-Entity
302,Cluster 2,Trampage,Cluster-Entity
303,Cluster 2,Gloria,Cluster-Entity
304,Cluster 2,Queer,Cluster-Entity
305,Cluster 6,Missing,Cluster-Entity
306,Cluster 6,College Student,Cluster-Entity
307,Cluster 6,Family ,Cluster-Entity
308,Cluster 3,Gay Bar,Cluster-Entity
309,Cluster 3,Full Article,Cluster-Entity
310,Cluster 3,Russian,Cluster-Entity
311,Cluster 3,Russia,Cluster-Entity
312,Cluster 3,Anti-Lgbtq Bills,Cluster-Entity
313,Cluster 3,U.S. Aid,Cluster-Entity
314,Cluster 9,Ghana,Cluster-Entity
315,Cluster 9,Anti-Gay Bill,Cluster-Entity
316,Cluster 9,Death Row,Cluster-Entity
317,Cluster 2,Ramadan,Cluster-Entity
318,Cluster 2,Hamilton,Cluster-Entity
319,Cluster 9,Mamuka Mdinaradze,Cluster-Entity
320,Cluster 9,Georgia,Cluster-Entity
321,Cluster 9,Parliament Majority,Cluster-Entity
322,Cluster 5,Nsw,Cluster-Entity
323,Cluster 5,Gay Conversion Therapy,Cluster-Entity
324,Cluster 5,Marathon Debate,Cluster-Entity
325,Cluster 0,Nex,Cluster-Entity
326,Cluster 0,School Fight,Cluster-Entity
327,Cluster 0,Owasso High School,Cluster-Entity
328,Cluster 5,Moscow,Cluster-Entity
329,Cluster 5,Record Missile Barrage,Cluster-Entity
330,Cluster 5,Record,Cluster-Entity
331,Cluster 5,Ukraine,Cluster-Entity
332,Cluster 5,Lgbt,Cluster-Entity
333,Cluster 5,Crackdown,Cluster-Entity
334,Cluster 5,Extremist Groups,Cluster-Entity
335,Cluster 5,Scar,Cluster-Entity
336,Cluster 5,Related,Cluster-Entity
337,Cluster 1,Tennessee,Cluster-Entity
338,Cluster 1,Foster Parents,Cluster-Entity
339,Cluster 9,White House,Cluster-Entity
340,Cluster 9,State Department,Cluster-Entity
341,Cluster 9,Pride Flags,Cluster-Entity
342,Cluster 9,Ban On,Cluster-Entity
343,Cluster 9,Spending Bill Deal,Cluster-Entity
344,Cluster 9,Embassies,Cluster-Entity
345,Cluster 9,U.S. Aid,Cluster-Entity
346,Cluster 9,Melania Trump,Cluster-Entity
347,Cluster 2,Russia,Cluster-Entity
348,Cluster 2,Lgbt,Cluster-Entity
349,Cluster 2,Financial Monitoring,Cluster-Entity
350,Cluster 2,List A,Cluster-Entity
351,Cluster 3,Story Hour,Cluster-Entity
352,Cluster 3,Suspicious Package,Cluster-Entity
353,Cluster 3,Biological Male,Cluster-Entity
354,Cluster 3,Behaviour Interactive,Cluster-Entity
355,Cluster 3,Game Developer,Cluster-Entity
356,Cluster 3,Character,Cluster-Entity
357,Cluster 3,Character  Transgender Vo,Cluster-Entity
358,Cluster 3,Popular Online Survival Horror Game,Cluster-Entity
359,Cluster 6,Years,Cluster-Entity
360,Cluster 6,Venice,Cluster-Entity
361,Cluster 9,Government Funding Bill,Cluster-Entity
362,Cluster 9,Pride Flags,Cluster-Entity
363,Cluster 9,U.S. Aid,Cluster-Entity
364,Cluster 3,Evacuation Orders,Cluster-Entity
365,Cluster 3,Pennsylvania,Cluster-Entity
366,Cluster 3,Bomb Threats,Cluster-Entity
367,Cluster 1,Dreams,Cluster-Entity
368,Cluster 1,Fawzia Mirza,Cluster-Entity
369,Cluster 1,Bollywood,Cluster-Entity
370,Cluster 9,Joe Biden,Cluster-Entity
371,Cluster 9,Months,Cluster-Entity
372,Cluster 9,Bipartisan,Cluster-Entity
373,Cluster 9,Pride Flags,Cluster-Entity
374,Cluster 9,Ban On,Cluster-Entity
375,Cluster 2,Russia,Cluster-Entity
376,Cluster 2,List A,Cluster-Entity
377,Cluster 2,Lgbt,Cluster-Entity
378,Cluster 8,Russia,Cluster-Entity
379,Cluster 8,Russian,Cluster-Entity
380,Cluster 8,Extremist Groups,Cluster-Entity
381,Cluster 8,Lgbt,Cluster-Entity
382,Cluster 8,Bank Card,Cluster-Entity
383,Cluster 3,Final,Cluster-Entity
384,Cluster 3,Indigenous Heritage,Cluster-Entity
385,Cluster 0,Benedict Xvi,Cluster-Entity
386,Cluster 0,U.S. Aid,Cluster-Entity
387,Cluster 0,Los Angeles,Cluster-Entity
388,Cluster 9,Embassies,Cluster-Entity
389,Cluster 9,Anti-Gay Bill,Cluster-Entity
390,Cluster 9,Lgbtq,Cluster-Entity
391,Cluster 9,Dei,Cluster-Entity
392,Cluster 3,New Orleans,Cluster-Entity
393,Cluster 3,Religious Discrimination,Cluster-Entity
394,Cluster 0,Transgender,Cluster-Entity
395,Cluster 0,Trans,Cluster-Entity
396,Cluster 0,Old Girl,Cluster-Entity
397,Cluster 0,Movie Love,Cluster-Entity
398,Cluster 8,Npr,Cluster-Entity
399,Cluster 8,Recent Cases,Cluster-Entity
400,Cluster 8,Kris Tassone,Cluster-Entity
401,Cluster 8,National Center For Transgender Equality,Cluster-Entity
402,Cluster 8,Andrew Scott,Cluster-Entity
403,Cluster 8,Pflag National,Cluster-Entity
404,Cluster 1,Athletes,Cluster-Entity
405,Cluster 1,Black,Cluster-Entity
406,Cluster 1,Diversity,Cluster-Entity
407,Cluster 1,Dei,Cluster-Entity
408,Cluster 1,March,Cluster-Entity
409,Cluster 1,Heart Attack,Cluster-Entity
410,Cluster 1,Ncaa,Cluster-Entity
411,Cluster 2,White House,Cluster-Entity
412,Cluster 2,Christian Cooper,Cluster-Entity
413,Cluster 2,York,Cluster-Entity
414,Cluster 2,Abc News,Cluster-Entity
415,Cluster 2,Theme Park,Cluster-Entity
416,Cluster 2,May,Cluster-Entity
417,Cluster 6,Traitors,Cluster-Entity
418,Cluster 6,Goodbye Mum,Cluster-Entity
419,Cluster 3,Dragon Ball,Cluster-Entity
420,Cluster 3,Saudi Arabia,Cluster-Entity
421,Cluster 1,Tennessee State,Cluster-Entity
422,Cluster 1,Red And Blue States,Cluster-Entity
423,Cluster 1,Lgbtq,Cluster-Entity
424,Cluster 6,Elon Musk,Cluster-Entity
425,Cluster 6,Judge Shopping,Cluster-Entity
426,Cluster 6,Nonprofit Researchers,Cluster-Entity
427,Cluster 6,X Corp,Cluster-Entity
428,Cluster 6,Center Stage,Cluster-Entity
429,Cluster 6,Digital,Cluster-Entity
430,Cluster 2,Transgender Women,Cluster-Entity
431,Cluster 2,Female Categories,Cluster-Entity
432,Cluster 0,Russia,Cluster-Entity
433,Cluster 0,Heart Attack,Cluster-Entity
434,Cluster 2,Anti-Gay Bill,Cluster-Entity
435,Cluster 2,Anti-Lgbt Propaganda Bill,Cluster-Entity
436,Cluster 2,Caucasus,Cluster-Entity
437,Cluster 1,Ex-Levi,Cluster-Entity
438,Cluster 1,Xx Xy,Cluster-Entity
439,Cluster 1,Jennifer Sey,Cluster-Entity
440,Cluster 1,S Beach,Cluster-Entity
441,Cluster 1,Clothing Brand,Cluster-Entity
442,Cluster 5,Australia,Cluster-Entity
443,Cluster 5,Aids Epidemic,Cluster-Entity
444,Cluster 2,Dutch,Cluster-Entity
445,Cluster 2,Darts Players,Cluster-Entity
446,Cluster 2,Transgender Women,Cluster-Entity
447,Cluster 2,U.S. Women’S National Team,Cluster-Entity
448,Cluster 2,Team,Cluster-Entity
449,Cluster 7,Abortions,Cluster-Entity
450,Cluster 7,Roe,Cluster-Entity
451,Cluster 7,Wade,Cluster-Entity
452,Cluster 7,U.S,Cluster-Entity
453,Cluster 7,Guttmacher Institute,Cluster-Entity
454,Cluster 7,New Orleans,Cluster-Entity
455,Cluster 9,Lawsuit,Cluster-Entity
456,Cluster 9,Ohio,Cluster-Entity
457,Cluster 9,Anti-Gay Bill,Cluster-Entity
458,Cluster 9,Texas,Cluster-Entity
459,Cluster 9,Pflag National,Cluster-Entity
460,Cluster 2,Police,Cluster-Entity
461,Cluster 2,Ncaa,Cluster-Entity
462,Cluster 2,Racial Harassment,Cluster-Entity
463,Cluster 2,Idaho,Cluster-Entity
464,Cluster 2,Team,Cluster-Entity
465,Cluster 2,Spokane,Cluster-Entity
466,Cluster 9,Republicans,Cluster-Entity
467,Cluster 9,Recent Cases,Cluster-Entity
468,Cluster 9,White House,Cluster-Entity
469,Cluster 9,Republican Ohio,Cluster-Entity
470,Cluster 9,Ban On,Cluster-Entity
471,Cluster 9,Pride Flags,Cluster-Entity
472,Cluster 9,Texas,Cluster-Entity
473,Cluster 9,Ken Paxton,Cluster-Entity
474,Cluster 9,Pflag National,Cluster-Entity
475,Cluster 9,Transgender Youth Support,Cluster-Entity
476,Cluster 3,Lgbtq,Cluster-Entity
477,Cluster 3,America,Cluster-Entity
478,Cluster 9,Thailand,Cluster-Entity
479,Cluster 9,Sex Marriage Bill,Cluster-Entity
480,Cluster 9,Plural Marriage,Cluster-Entity
481,Cluster 9,Lower House,Cluster-Entity
482,Cluster 8,New Orleans,Cluster-Entity
483,Cluster 8,High Level,Cluster-Entity
484,Cluster 8,Public Religion Research Institute,Cluster-Entity
485,Cluster 9,Southeast Asia,Cluster-Entity
486,Cluster 9,Thailand,Cluster-Entity
487,Cluster 9,Liberal Democrat,Cluster-Entity
488,Cluster 9,Sex Marriage Bill,Cluster-Entity
489,Cluster 9,Sex Marriage Bill,Cluster-Entity
490,Cluster 9,Lawmakers,Cluster-Entity
491,Cluster 9,Thai,Cluster-Entity
492,Cluster 9,Thailand,Cluster-Entity
493,Cluster 5,Lawmakers,Cluster-Entity
494,Cluster 5,Senate Approval,Cluster-Entity
495,Cluster 5,Sex Marriage Bill,Cluster-Entity
496,Cluster 5,Lower House,Cluster-Entity
497,Cluster 5,King  Endorsement,Cluster-Entity
498,Cluster 1,Sacramento,Cluster-Entity
499,Cluster 1,Sacramento City Council,Cluster-Entity
500,Cluster 1,Transgender,Cluster-Entity
501,Cluster 1,Sanctuary City,Cluster-Entity
502,Cluster 1,Southern California,Cluster-Entity
503,Cluster 9,Thailand,Cluster-Entity
504,Cluster 9,Lgbtq,Cluster-Entity
505,Cluster 9,Laws,Cluster-Entity
506,Cluster 1,Sacramento,Cluster-Entity
507,Cluster 1,Sanctuary City,Cluster-Entity
508,Cluster 1,Transgender,Cluster-Entity
509,Cluster 6,Molecular Biology,Cluster-Entity
510,Cluster 6,Future Outbreaks,Cluster-Entity
511,Cluster 0,Benedict Xvi,Cluster-Entity
512,Cluster 0,Federal Report,Cluster-Entity
513,Cluster 0,Disney,Cluster-Entity
514,Cluster 0,Legal Battle,Cluster-Entity
515,Cluster 0,Florida,Cluster-Entity
516,Cluster 7,Settlement Agreement,Cluster-Entity
517,Cluster 7,Gov,Cluster-Entity
518,Cluster 6,Boeing,Cluster-Entity
519,Cluster 6,Cautionary Tale,Cluster-Entity
520,Cluster 6,Psychological Safety,Cluster-Entity
521,Cluster 8,Mpox,Cluster-Entity
522,Cluster 8,U.S. Aid,Cluster-Entity
523,Cluster 8,U.S,Cluster-Entity
524,Cluster 9,Disney,Cluster-Entity
525,Cluster 9,Ron Desantis,Cluster-Entity
526,Cluster 9,Legal Battle,Cluster-Entity
527,Cluster 5,Literature,Cluster-Entity
528,Cluster 5,Hastings,Cluster-Entity
529,Cluster 5,Animal Behavior,Cluster-Entity
530,Cluster 5,Inaccurate Information,Cluster-Entity
531,Cluster 5,Britain,Cluster-Entity
532,Cluster 2,Glaad,Cluster-Entity
533,Cluster 2,Meta,Cluster-Entity
534,Cluster 2,Anti-Trans,Cluster-Entity
535,Cluster 2,Top Social Platforms,Cluster-Entity
536,Cluster 2,Lgbtq,Cluster-Entity
537,Cluster 6,Lioness,Cluster-Entity
538,Cluster 6,Bbc,Cluster-Entity
539,Cluster 0,Long Island Roller Rebels,Cluster-Entity
540,Cluster 0,Old Girl,Cluster-Entity
541,Cluster 0,Fairfax County,Cluster-Entity
542,Cluster 0,Executive Order,Cluster-Entity
543,Cluster 0,Transgender,Cluster-Entity
544,Cluster 6,Enhanced,Cluster-Entity
545,Cluster 6,Bbc Show,Cluster-Entity
546,Cluster 3,Grindr,Cluster-Entity
547,Cluster 3,Cowen,Cluster-Entity
548,Cluster 3,Inc,Cluster-Entity
549,Cluster 3,Rating,Cluster-Entity
550,Cluster 3,Best Buy,Cluster-Entity
551,Cluster 3,Outpacing Tinder Owner,Cluster-Entity
552,Cluster 3,Lgbtq,Cluster-Entity
553,Cluster 6,Soccer Fans,Cluster-Entity
554,Cluster 6,Redesign,Cluster-Entity
555,Cluster 6,", England",Cluster-Entity
556,Cluster 6,U.S. Women’S National Team,Cluster-Entity
557,Cluster 6,Euro Cup,Cluster-Entity
558,Cluster 1,Calif,Cluster-Entity
559,Cluster 1,Southern California,Cluster-Entity
560,Cluster 1,Trans,Cluster-Entity
561,Cluster 1,Sanctuary City,Cluster-Entity
562,Cluster 6,Best Buy,Cluster-Entity
563,Cluster 6,Lgbtq,Cluster-Entity
564,Cluster 6,Pressure,Cluster-Entity
565,Cluster 0,Will Wooten,Cluster-Entity
566,Cluster 0,Georgia,Cluster-Entity
567,Cluster 3,South Koreans,Cluster-Entity
568,Cluster 3,Lgbtq,Cluster-Entity
569,Cluster 1,Boise,Cluster-Entity
570,Cluster 1,Boise State University,Cluster-Entity
