,news_id,subject,relation,object
427,46,pair,were spotted in,suite chatting
428,46,pair,were,spotted
429,47,Bill Ackman,’s,fight against Harvard
430,47,it,anxious no longer rules,world
431,47,it,anxious rules,world
432,47,him,public face of,billionaire class
433,47,Bill Ackman ’s fight,has made,him public face
434,47,it,anxious longer rules,world
435,47,him,face of,billionaire class
436,47,it,rules,world
437,47,it,no longer rules,world
438,47,it,longer rules,world
439,47,Bill Ackman ’s fight,has made,him face of billionaire class
440,47,Bill Ackman ’s fight,has made,him face
441,47,Bill Ackman ’s fight,has made,him public face of billionaire class
442,48,head House race,foreshadows,elections
443,48,head House race,foreshadows,national elections
444,48,head House race,foreshadows elections In,New York
445,48,special election,is,seen
446,48,election,is,seen
447,48,special election,is in,Long Island
448,49,Silicon Valley,Has,Harvard Problem
449,49,Silicon Valley establishment,grown,so suspicious of original belief
450,49,Silicon Valley establishment,grown,suspicious
451,49,Silicon Valley establishment,grown,suspicious of belief
452,49,Silicon Valley establishment,grown,suspicious of original belief
453,49,Silicon Valley establishment,grown,so suspicious of belief
454,49,Silicon Valley establishment,grown,so suspicious
455,50,Activist Simon Fanshawe,named as,University of Edinburgh rector
456,50,Activist Simon Fanshawe,named as,University rector
457,50,activist,was founding,Stonewall
458,50,women,of,rights
459,50,activist,is,defender
460,50,activist,is defender of,women 's rights
461,50,activist,was founding member of,LGBT charity Stonewall
462,50,activist,was member of,LGBT charity Stonewall
463,50,activist,was,founding member
464,50,activist,was member of,charity Stonewall
465,50,activist,was founding member of,charity Stonewall
466,50,activist,was,member
467,51,10 demands,organisers of,pride march
468,51,organisers,outlined,10 demands including transgender reservation
469,51,organisers,outlined,10 demands
470,51,organisers,outlined,10 demands including reservation
471,51,They,also expressed,their aspiration for increased job opportunities
472,51,They,expressed,their aspiration for job opportunities
473,51,They,also expressed,their aspiration for job opportunities for queer
474,51,They,also expressed,their aspiration for increased job opportunities for queer individual
475,51,They,also expressed,their aspiration for increased job opportunities for queer
476,51,They,expressed,their aspiration for increased job opportunities
477,51,They,expressed,their aspiration for increased job opportunities for queer
478,51,They,expressed,their aspiration for increased job opportunities for queer individual
479,51,They,expressed,their aspiration for job opportunities for queer
480,51,They,expressed,their aspiration
481,51,They,also expressed,their aspiration
482,51,They,also expressed,their aspiration for job opportunities for queer individual
483,51,They,also expressed,their aspiration for job opportunities
484,51,They,expressed,their aspiration for job opportunities for queer individual
485,52,Police,identified Moreno at_time,Monday afternoon
486,53,We,beat,15 Democrats
487,53,Republicans,recruit,diverse candidates
488,53,they,criticize,DEI
489,53,Republicans,recruit,candidates
490,53,Republicans are hoping,will continue with,their slate
491,53,Republicans are hoping,will continue with,their latest slate
492,53,Republicans are hoping,will continue with,their latest slate of candidates
493,53,Republicans,are hoping,gains
494,53,Republicans are hoping,will continue with,their slate of candidates
495,53,they,made in,2022 midterm elections
496,54,Law enforcement,dominates at_time,1st day
497,54,Minnesota Legislature,of,2024 session
498,54,Law enforcement,dominates at_time,1st day of Minnesota Legislature 's 2024 session
499,54,Law enforcement,dominates at_time,day of Minnesota Legislature 's 2024 session
500,54,Law enforcement,is in,schools
501,54,Law enforcement,dominates at_time,day
502,54,Minnesota Legislature,has convened for,its 2024 session
